,match_id,detected_matches,valid_matches(SuperPoint),valid_matches(ORB),inlier_rate,detection_time_SuperPoint,detection_time_ORB,EulerZ_error(degree),EulerY_error(degree),EulerX_error(degree),t1_error(m),t2_error(m),t3_error(m),delta_R_SuperPoint,delta_R_ORB
25,match125,570,119,17,0.20877192982456141,1.060696752043441,0.016910685983020812,0.273658130390116,0.22267923909005016,1.7631511684909364,-0.04124863873843424,0.16229857670598416,0.038911325697991286,1.798622298763334,14.112950829556672
26,match130,666,230,92,0.34534534534534533,1.0800236749928445,0.017797471024096012,1.8884041150779483,0.6510081222589712,0.8522144881565189,0.008186640134256528,0.10692856981579488,0.0023947340707751365,2.175850367313908,4.025365358146549
27,match135,717,313,119,0.43654114365411434,1.0944666920113377,0.018283062963746488,-0.8839182493932642,-0.027738227620044954,-0.11313032638430083,-0.001065200850903535,-0.06415571721579844,-0.007679646112248495,0.8915327649230944,1.46083609303439
28,match140,592,175,39,0.2956081081081081,1.0659168059937656,0.020767464011441916,-1.3684460707103756,-0.08073052800243856,-1.9126685686465863,-0.01116391213217635,-0.10436107366331256,-0.006299189147194222,2.3523605947221324,9.060799786501837
29,match145,570,222,19,0.3894736842105263,1.075645050033927,0.015493156970478594,-0.22029360764738895,-0.3376693017910259,-0.744797862247576,0.00892435306539181,-0.08856740163920242,-0.013249703973705087,0.8463476209312043,8.21177942473306
30,match150,503,90,9,0.17892644135188868,1.0685096429660916,0.016942760965321213,-0.9983886811183563,0.39150570898823045,0.02886613730680267,-0.004041491929865089,0.10942002417062197,0.005707477028132909,1.0727017775658878,33.18545079122002
31,match155,602,168,46,0.27906976744186046,1.0869372950401157,0.017401792982127517,1.2885560338757687,0.6087100603882515,2.1218263744715764,-0.04019442462047453,0.17700097333623768,0.0248098456403427,2.5616110189542955,0.8073670490664681
32,match160,833,478,236,0.5738295318127251,1.0788763419841416,0.017969342006836087,0.9406901276773609,-0.11628181568670198,0.06223431125859764,-0.00014960309460051871,0.016201913443911774,-0.022667904388594822,0.9498280270338743,1.088311829465348
33,match165,677,249,78,0.36779911373707536,1.07138010696508,0.017462542979046702,0.5423441936728529,-0.45540826711863786,-0.633973198163896,0.009950462745045246,-0.09359377169804824,-0.018313299739835302,0.9519360101142929,1.597414780258536
34,match170,592,244,89,0.41216216216216217,1.114680616010446,0.017152033979073167,0.652843085062668,-0.26485923693512686,-0.023818410954006428,0.0267983367483743,-0.055547477051405246,-0.01660057355591973,0.704977262532319,1.65653047128019
35,match175,674,299,97,0.443620178041543,1.0820773619925603,0.021289130032528192,-1.9177045077394876,-0.4607665106014118,0.5106463082172782,0.032956103986904156,-0.03951423562195155,0.020537424885535567,2.0392365271663957,2.1847785219607805
36,match180,760,408,113,0.5368421052631579,1.0812383969896473,0.01587751496117562,-0.4523352321796967,0.21884102280713058,0.9562589187441892,0.017029990494473995,0.0025807020574470105,-0.017201321991221062,1.0794773937716367,2.9411036912197455
37,match185,823,471,233,0.5722964763061968,1.0635356309940107,0.018769058980979025,-0.8375683863131745,1.0398114264564835,-0.05384737876041752,-0.02464633977020022,0.054875603983658934,0.02726279492412151,1.3365729518026115,1.9997947797954605
38,match190,847,635,310,0.7497048406139315,1.0884081469848752,0.016339708003215492,0.5916338229264724,0.23265931907425424,0.9436614200374506,-0.024443661388093767,0.011534986442539773,-0.017542772374994763,1.1388218818811569,1.5932529370160586
39,match195,916,782,326,0.8537117903930131,1.0790362739935517,0.016193476039916277,0.669967035531229,0.11807435067321186,0.07944687986484858,-8.111991937472662e-05,0.003335129291376196,-0.012154097851161828,0.6849953603656237,0.7086481991699205
40,match200,925,909,412,0.9827027027027027,1.0847354960278608,0.01626012200722471,0.40219592801000925,0.12442404439316919,0.14735187998108568,0.0016327927672509443,-0.0008445297197414492,-0.013424358284932575,0.44618832541120595,0.3782844373675098
